tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Ndufa1	ENSMUSG00000016427	MGI:1929511	NADH:ubiquinone oxidoreductase subunit A1	CI_mitoMap	Electron transport chain CI	NADH dehydrogenase	1.6.5.3, 1.6.5.8, 1.6.5.9	genes	Coxfa4,Coxfa4l2,Ndufa10,Ndufa11,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa8,Ndufa9,Ndufab1,Ndufb1,Ndufb10,Ndufb11,Ndufb11b,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb6,Ndufb7,Ndufb8,Ndufb9,Ndufc1,Ndufc2,Ndufs1,Ndufs2,Ndufs3,Ndufs4,Ndufs5,Ndufs6,Ndufs7,Ndufs8,Ndufv1,Ndufv2,Ndufv3,mt-Nd1,mt-Nd2,mt-Nd3,mt-Nd4,mt-Nd4l,mt-Nd5,mt-Nd6	kegg	44	Coxfa4,Ndufa10,Ndufa11,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa8,Ndufa9,Ndufab1,Ndufb1,Ndufb10,Ndufb11,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb6,Ndufb7,Ndufb8,Ndufb9,Ndufc1,Ndufc2,Ndufs1,Ndufs2,Ndufs3,Ndufs4,Ndufs5,Ndufs6,Ndufs7,Ndufs8,Ndufv1,Ndufv2,Ndufv3,mt-Nd1,mt-Nd2,mt-Nd3,mt-Nd4,mt-Nd4l,mt-Nd5,mt-Nd6	Ndufa10,Ndufa11,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa8,Ndufa9	False	MAR06921	1	im	Oxidative phosphorylation	1	complex
A	Ndufb4b	ENSMUSG00000120425	MGI:3782046	NADH:ubiquinone oxidoreductase subunit B4B	CI_mitoMap	Electron transport chain CI	NADH dehydrogenase	1.6.5.3, 1.6.5.8, 1.6.5.9	genes	Coxfa4,Coxfa4l2,Ndufa10,Ndufa11,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa8,Ndufa9,Ndufab1,Ndufb1,Ndufb10,Ndufb11,Ndufb11b,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb6,Ndufb7,Ndufb8,Ndufb9,Ndufc1,Ndufc2,Ndufs1,Ndufs2,Ndufs3,Ndufs4,Ndufs5,Ndufs6,Ndufs7,Ndufs8,Ndufv1,Ndufv2,Ndufv3,mt-Nd1,mt-Nd2,mt-Nd3,mt-Nd4,mt-Nd4l,mt-Nd5,mt-Nd6	kegg	44	Coxfa4,Ndufa10,Ndufa11,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa8,Ndufa9,Ndufab1,Ndufb1,Ndufb10,Ndufb11,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb6,Ndufb7,Ndufb8,Ndufb9,Ndufc1,Ndufc2,Ndufs1,Ndufs2,Ndufs3,Ndufs4,Ndufs5,Ndufs6,Ndufs7,Ndufs8,Ndufv1,Ndufv2,Ndufv3,mt-Nd1,mt-Nd2,mt-Nd3,mt-Nd4,mt-Nd4l,mt-Nd5,mt-Nd6	Ndufb1,Ndufb10,Ndufb11,Ndufb11b,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb6,Ndufb7,Ndufb8,Ndufb9	False	MAR06921	1	im	Oxidative phosphorylation	1	complex
A	Sdhd	ENSMUSG00000000171	MGI:1914175	succinate dehydrogenase complex, subunit D, integral membrane protein	CII_mitoMap	Electron transport chain CII	succinate dehydrogenase	1.3.5.1	genes	Sdha,Sdhb,Sdhc	kegg,struct	3	Sdha,Sdhb,Sdhc		False	MAR04652	1	m	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	1	complex
A	Uqcrq	ENSMUSG00000044894	MGI:107807	ubiquinol-cytochrome c reductase, complex III subunit VII	CIII_mitoMap	Electron transport chain CIII	cytochrome c reductase	1.10.2.2	genes	Cyc1,Cycs,Ttc19,Uqcr10,Uqcr11,Uqcrb,Uqcrc1,Uqcrc2,Uqcrfs1,Uqcrh,mt-Cytb	kegg	9	Cyc1,Uqcr10,Uqcr11,Uqcrb,Uqcrc1,Uqcrc2,Uqcrfs1,Uqcrh,mt-Cytb		False	MAR06918	1	im	Oxidative phosphorylation	1	complex
A	Cox7b2	ENSMUSG00000049387	MGI:1925424	cytochrome c oxidase subunit 7B2	CIV_mitoMap	Electron transport chain CIV	cytochrome c oxidase	1.9.3.1	genes	Cox4i1,Cox4i2,Cox5a,Cox5b,Cox6a1,Cox6a2,Cox6b1,Cox6b2,Cox6c,Cox7a1,Cox7a2,Cox7a2l,Cox7b,Cox7c,Cox8a,Cox8c,mt-Co1,mt-Co2,mt-Co3	kegg	17	Cox4i1,Cox4i2,Cox5a,Cox5b,Cox6a1,Cox6a2,Cox6b1,Cox6b2,Cox6c,Cox7a1,Cox7a2,Cox7b,Cox7c,Cox8a,mt-Co1,mt-Co2,mt-Co3	Cox4i1,Cox4i2,Cox5a,Cox5b,Cox6a1,Cox6a2,Cox6b1,Cox6b2,Cox6c,Cox7a1,Cox7a2,Cox7b,Cox7c,Cox8a,Cox8c	False	MAR06914	1	im	Oxidative phosphorylation	2	complex
A	Coxfa4	ENSMUSG00000029632	MGI:107686	cytochrome c oxidase associated subunit FA4	CIV_mitoMap	Electron transport chain CIV	cytochrome c oxidase	1.9.3.1	genes	Cox4i1,Cox4i2,Cox5a,Cox5b,Cox6a1,Cox6a2,Cox6b1,Cox6b2,Cox6c,Cox7a1,Cox7a2,Cox7a2l,Cox7b,Cox7c,Cox8a,Cox8c,mt-Co1,mt-Co2,mt-Co3	kegg	17	Cox4i1,Cox4i2,Cox5a,Cox5b,Cox6a1,Cox6a2,Cox6b1,Cox6b2,Cox6c,Cox7a1,Cox7a2,Cox7b,Cox7c,Cox8a,mt-Co1,mt-Co2,mt-Co3		True	MAR06914	1	im	Oxidative phosphorylation	3	complex
A	Atg5lrt	ENSMUSG00000096486	MGI:3646788	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G, retrotranspo	CV_mitoMap	Electron transport chain CV	ATP synthase	3.6.3.14, 3.6.3.10, 3.6.3.6	genes	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8	bigg,kegg	17	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8		False	MAR06916	1	im	Oxidative phosphorylation	1	complex
A	Atp5mj	ENSMUSG00000021290	MGI:1917507	ATP synthase membrane subunit j	CV_mitoMap	Electron transport chain CV	ATP synthase	3.6.3.14, 3.6.3.10, 3.6.3.6	genes	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8	bigg,kegg	17	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8	Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po	False	MAR06916	1	im	Oxidative phosphorylation	1	complex
A	Atp5mk	ENSMUSG00000071528	MGI:1891435	ATP synthase membrane subunit k	CV_mitoMap	Electron transport chain CV	ATP synthase	3.6.3.14, 3.6.3.10, 3.6.3.6	genes	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8	bigg,kegg	17	Atp5f1a,Atp5f1b,Atp5f1c,Atp5f1d,Atp5f1e,Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po,mt-Atp6,mt-Atp8	Atp5mc1,Atp5mc2,Atp5mc3,Atp5me,Atp5mf,Atp5mg,Atp5pb,Atp5pd,Atp5pf,Atp5po	False	MAR06916	1	im	Oxidative phosphorylation	1	complex
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	ACADLC14_mitoMap	FA metabolism	Tetradecanoyl-CoA + Q --> trans-Tetradec-2-enoyl-CoA + QH2	1.3.8.8, 1.5.5.1	genes	Acadl,Etfdh	kegg	1	Acadl		False	MAR03128	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	59	isozyme
